00001.jpg,39,116,569,375,4
00002.jpg,36,116,868,587,2
00003.jpg,85,109,601,381,13
00004.jpg,621,393,1484,1096,23
00005.jpg,14,36,133,99,18
00006.jpg,259,289,515,416,20
00007.jpg,88,80,541,397,13
00008.jpg,73,79,591,410,13
00009.jpg,20,126,1269,771,36
00010.jpg,21,110,623,367,10
00011.jpg,51,93,601,393,8
00012.jpg,6,62,499,286,46
00013.jpg,30,36,418,307,23
00014.jpg,31,246,778,540,13
00015.jpg,32,77,589,379,48
00016.jpg,27,49,611,396,38
00017.jpg,39,52,233,150,4
00018.jpg,3,8,190,147,10
00019.jpg,247,287,1366,761,47
00020.jpg,17,281,961,596,10
00021.jpg,17,156,695,375,11
00022.jpg,212,538,1893,1131,5
00023.jpg,11,28,476,234,19
00024.jpg,53,126,973,621,37
00025.jpg,34,87,567,343,48
00026.jpg,30,174,598,379,23
00027.jpg,80,107,606,336,44
00028.jpg,45,115,585,382,13
00029.jpg,28,139,1564,1126,43
00030.jpg,82,109,874,521,48
00031.jpg,55,318,446,564,29
00032.jpg,12,31,471,350,23
00033.jpg,34,197,1011,656,10
00034.jpg,37,63,614,397,23
00035.jpg,223,87,1111,670,29
00036.jpg,138,41,521,223,16
00037.jpg,31,87,616,344,5
00038.jpg,16,89,459,326,13
00039.jpg,53,113,614,350,17
00040.jpg,214,110,660,403,24
00041.jpg,61,55,566,408,4
00042.jpg,28,61,622,371,47
00043.jpg,22,39,588,362,19
00044.jpg,220,193,537,364,5
00045.jpg,12,108,489,297,46
00046.jpg,28,80,759,466,4
00047.jpg,84,248,1102,899,48
00048.jpg,142,69,753,451,41
00049.jpg,166,543,887,903,39
00050.jpg,20,96,564,341,6
00051.jpg,41,181,607,465,13
00052.jpg,39,29,774,395,27
00053.jpg,161,191,425,307,4
00054.jpg,58,562,1528,1081,13
00055.jpg,80,120,582,391,6
00056.jpg,32,48,472,267,9
00057.jpg,260,138,972,439,6
00058.jpg,11,35,256,173,10
00059.jpg,68,91,607,354,13
00060.jpg,129,120,345,269,21
00061.jpg,11,104,1011,742,18
00062.jpg,19,21,425,265,47
00063.jpg,175,330,928,647,16
00064.jpg,97,39,925,700,46
00065.jpg,63,175,417,320,3
00066.jpg,30,39,221,125,4
00067.jpg,129,89,594,432,18
00068.jpg,32,43,598,350,19
00069.jpg,142,124,675,445,2
00070.jpg,220,313,1054,976,5
00071.jpg,8,12,639,299,22
00072.jpg,92,271,1178,749,13
00073.jpg,15,12,314,230,18
00074.jpg,14,12,309,223,18
00075.jpg,45,74,522,253,46
00076.jpg,12,27,284,166,10
00077.jpg,25,25,3502,2017,18
00078.jpg,36,88,611,417,6
00079.jpg,165,126,749,425,23
00080.jpg,20,21,292,217,18
00081.jpg,10,55,540,271,3
00082.jpg,63,113,597,413,47
00083.jpg,55,48,294,205,4
00084.jpg,27,67,620,474,18
00085.jpg,15,80,629,402,8
00086.jpg,119,300,1416,871,27
00087.jpg,17,36,455,215,8
00088.jpg,171,176,2373,1751,37
00089.jpg,49,195,1003,617,4
00090.jpg,5,43,296,211,18
00091.jpg,49,57,494,419,35
00092.jpg,101,84,492,272,23
00093.jpg,23,53,258,144,41
00094.jpg,19,60,783,440,18
00095.jpg,110,171,1213,648,19
00096.jpg,39,67,346,206,16
00097.jpg,3,7,76,50,10
00098.jpg,65,37,578,360,9
00099.jpg,27,60,486,364,5
00100.jpg,22,180,454,355,10
00101.jpg,70,39,940,742,48
00102.jpg,99,130,396,222,17
00103.jpg,85,107,609,381,10
00104.jpg,1,76,480,315,10
00105.jpg,57,266,967,623,23
00106.jpg,69,75,236,161,35
00107.jpg,24,17,249,163,23
00108.jpg,7,27,212,147,13
00109.jpg,18,14,248,168,19
00110.jpg,19,2,591,387,43
00111.jpg,52,6,759,513,43
00112.jpg,231,103,430,226,23
00113.jpg,91,148,700,582,23
00114.jpg,19,72,624,397,10
00115.jpg,26,90,376,243,13
00116.jpg,132,120,667,401,18
00117.jpg,84,44,663,342,6
00118.jpg,87,235,591,412,41
00119.jpg,173,370,1207,960,27
00120.jpg,3,19,195,114,35
00121.jpg,49,143,487,455,18
00122.jpg,72,67,233,176,5
00123.jpg,151,568,1954,1271,26
00124.jpg,14,88,271,178,9
00125.jpg,135,761,1894,1353,5
00126.jpg,44,123,778,487,10
00127.jpg,69,103,537,322,11
00128.jpg,86,78,355,284,4
00129.jpg,50,80,592,273,23
00130.jpg,95,161,543,368,25
00131.jpg,275,195,863,474,37
00132.jpg,99,78,557,389,13
00133.jpg,11,126,426,360,23
00134.jpg,1,2,267,185,35
00135.jpg,19,735,2669,2192,10
00136.jpg,21,35,279,195,19
00137.jpg,45,99,593,403,42
00138.jpg,130,282,1425,900,10
00139.jpg,72,215,628,481,44
00140.jpg,62,95,633,434,47
00141.jpg,13,106,476,260,6
00142.jpg,78,300,952,633,10
00143.jpg,72,51,566,412,29
00144.jpg,66,59,283,202,10
00145.jpg,135,36,1181,885,23
00146.jpg,2,5,298,162,6
00147.jpg,8,12,770,309,11
00148.jpg,24,78,608,379,46
00149.jpg,34,1,242,179,13
